Pernambuco | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2025],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2025],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2023],
S&atilde;o Jos&eacute; da Coroa Grande,2613404,s&atilde;o-jos&eacute;-coroa-grandense,JOS&Eacute; BARBOSA DE ANDRADE,69.184,18825,272.10,19511,97.39,0.608,4.1,133234771.47,132969435.22,20689.04,
S&atilde;o Jos&eacute; do Belmonte,2613503,belmontense,VINICIUS MARQUES ALVES,1474.086,34843,23.64,36890,98.83,0.610,8.55,158488577.88,171762242.32,15208.3,
S&atilde;o Jos&eacute; do Egito,2613602,egipsiense,FREDSON HENRIQUE DE OLIVEIRA BRITO,774.037,31004,40.05,32508,99.06,0.635,16.26,162624304.1,154239552.49,15205.33,
S&atilde;o Louren&ccedil;o da Mata,2613701,s&atilde;o-lourensense,VINICIUS LABANCA,263.687,111249,421.90,118258,96.3,0.653,12.07,402209901.14,364977611.18,16099.55,
S&atilde;o Vicente F&eacute;rrer,2613800,s&atilde;o-vicentino,MARCONE VICENTE DOS SANTOS,112.472,16677,148.17,17177,97.01,0.549,22.62,105157454.88,95781203.3,23038.43,
Serra Talhada,2613909,serra-talhadense,MARCIA CONRADO DE LORENA E SA ARAUJO,2980.007,92228,30.95,98816,99.27,0.661,13.31,396164019.34,410593505.97,21719.14,
Serrita,2614006,serritense,SEBASTI&Atilde;O BENEDITO DOS SANTOS,1535.19,18207,11.86,18764,97.95,0.595,8.97,116615636.01,114289120.22,10764.5,
Sert&acirc;nia,2614105,sertaniense,POLLYANNA BARBOSA DE ABREU,2409.511,32811,13.55,34271,98.73,0.613,27.93,149320988.72,155884864.27,12345.85,
Sirinha&eacute;m,2614204,sirinhaense ou sirinhadoara,MANOEL SOARES DE SOUZA FILHO,374.321,37596,100.44,39171,99.11,0.597,14.37,203896477.06,187074534.54,22912.46,
Moreil&acirc;ndia,2614303,moreirense,VICENTE TEIXEIRA SAMPAIO NETO,404.288,10540,26.07,10839,98.73,0.600,25.86,74640716.76,75330146.14,10100.72,
Solid&atilde;o,2614402,solidanense,MAYCO PABLO SANTOS ARAUJO,138.6,5210,37.65,5386,99.53,0.585,-,64926876.92,60672312.97,11961.91,
Surubim,2614501,surubinense,CL&Eacute;BER JOS&Eacute; DE AGUIAR DA SILVA,253.296,64120,253.54,67821,98.52,0.635,10.61,249678142.71,234299644.23,17636.35,
Tabira,2614600,tabirense,FL&Aacute;VIO FERREIRA MARQUES,388.458,27681,70.90,29180,99.08,0.605,2.72,135420267.8,120490322.35,12968.28,
Tacaimb&oacute;,2614709,tacaimboense,JOELDA LIMA DA SILVA PEREIRA,227.6,13738,60.36,14330,96.2,0.554,6.41,80526609.89,76813575.68,16141.32,
Tacaratu,2614808,tacaratuense,WASHINGTON ANGELO DE ARA&Uacute;JO,1264.532,23902,18.90,24898,94.57,0.573,19.54,119591506.04,105055626.47,10969.69,
Tamandar&eacute;,2614857,tamandareense,ISAIAS HONORATO DA SILVA MARQUES,213.75,23561,110.23,24670,97.34,0.593,12.82,147039918.57,139389384.04,18347.99,
Taquaritinga do Norte,2615003,norte taquaritinguense,GENIVALDO FERREIRA LINS,475.183,24736,52.06,25511,98.78,0.641,14.75,119108563.62,105266737.83,16255.16,
Terezinha,2615102,terezinhense,ARNOBIO GOMES DA SILVA,151.625,6513,43.00,6853,98.56,0.545,9.52,59846919.28,59777172,13771.33,
Terra Nova,2615201,terra-novense,ESDRAS ENILDO PIRES DE CARVALHO COELHO MOROR&Oacute;,318.709,8920,27.99,9231,98.46,0.599,9.09,69967964.04,66399019.43,14053.74,
Timba&uacute;ba,2615300,timbaubense,MARINALDO ROSENDO DE ALBUQUERQUE,287.683,46147,160.41,47312,97.88,0.618,8.56,239355504.19,226220603.1,19616.98,
Toritama,2615409,toritamense,SERGIO PROCOPIO COLIN DA SILVA CARVALHO,25.704,41137,1600.41,43921,98.21,0.618,8.03,214124382.88,188943472.35,19757.28,
Tracunha&eacute;m,2615508,tracunhaense,ALUIZIO XAVIER DA SILVA,137.321,13867,100.98,14439,97.56,0.605,18.99,71656042.09,72522215.95,14319.57,
Trindade,2615607,trindadense,HELBE DA SILVA RODRIGUES NASCIMENTO,295.765,30321,102.52,32257,99.05,0.595,13.26,158465673.03,153473210.86,21576.16,
Triunfo,2615706,triunfense,LUCIANO FERNANDO DE SOUSA,191.518,14705,76.78,15141,98.68,0.670,12.12,93620728.76,94919018.97,13750.79,
Tupanatinga,2615805,tupanatinguense,JOS&Eacute; RONALDO DA SILVA,888.467,26937,28.82,28141,97.78,0.519,11.49,146704209.4,136699314.94,10805.58,
Tuparetama,2615904,tuparetamense,DI&Oacute;GENES TORRES DA COSTA PATRIOTA,188.428,8005,42.24,8261,99.41,0.634,26.55,60036705.9,61151444.06,11902.59,
Venturosa,2616001,venturosense,KELVIN DOUGLAS CAVALCANTI ALMEIDA,331.552,17251,51.33,17563,97.81,0.592,7.43,100975711.36,101131154.41,17251.34,
Verdejante,2616100,verdejantense,FRANCISCO DE ASSIS TAVARES FILHO,476.04,9169,19.26,9483,99.44,0.605,34.78,60723702.11,66642786.79,11257.58,
Vertente do L&eacute;rio,2616183,vertentense do l&eacute;rio,HIST&Ecirc;NIO J&Uacute;NIOR DA SILVA SALES,73.631,7558,102.65,7776,99.32,0.563,-,65147973.04,71128771.15,12364.62,
Vertentes,2616209,vertentense,ISRAEL FERREIRA DE ANDRADE,196.324,21959,111.85,23127,96,0.582,15.56,105236683.95,103970366.9,10421.07,
Vic&ecirc;ncia,2616308,vicenciense,EDER WALTTER JOS&Eacute; DE OLIVEIRA SILVA,227.906,26359,115.60,27151,99.84,0.605,20.47,160419434.88,162788285.46,23357.29,
Vit&oacute;ria de Santo Ant&atilde;o,2616407,vitoriense,PAULO ROBERTO LEITE DE ARRUDA,373.3,134084,398.38,144243,98.29,0.640,5.97,627262067.99,701113181.51,44766.86,
Xex&eacute;u,2616506,xexeuense,THIAGO GON&Ccedil;ALVES DE LIMA,110.814,11611,104.78,11699,99.09,0.552,15,91947385.85,79341189.54,17339.63,

<table class="fontes-container"><tr><th>Notas:</th></tr><tr><td>Escolariza&ccedil;&atilde;o <span>6 a 14 anos</span>: [população residente no município de 6 a 14 anos de idade matriculada no ensino regular/total de população residente no município de 6 a 14 anos de idade] x 100</td></tr><tr><th>Fontes:</th></tr><tr><td>Área Territorial: Área territorial brasileira 2022. Rio de Janeiro: IBGE, 2023</td></tr><tr><td>Popula&ccedil;&atilde;o no &uacute;ltimo censo: Censo 2022: População e Domicílios - Primeiros Resultados - Atualizado em 22/12/2023</td></tr><tr><td>Densidade demogr&aacute;fica: Censo 2022: População e Domicílios - Primeiros Resultados - Atualizado em 22/12/2023</td></tr><tr><td>Popula&ccedil;&atilde;o estimada: IBGE, Diretoria de Pesquisas, Coordenação de População e Indicadores Sociais, Estimativas da população residente com data de referência 1o de julho de 2024</td></tr><tr><td>Escolariza&ccedil;&atilde;o <span>6 a 14 anos</span>: IBGE, Censo Demográfico 2010</td></tr><tr><td>IDHM <span>&Iacute;ndice de desenvolvimento humano municipal</span>: Programa das Nações Unidas para o Desenvolvimento - PNUD</td></tr><tr><td>Mortalidade infantil: Ministério da Saúde, Departamento de Informática do Sistema Único de Saúde - DATASUS 2022</td></tr><tr><td>Total de receitas brutas realizadas: Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2023]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: jun. 2024, Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2023 e Despesas orçamentárias empenhadas (Anexo I-D) 2023. In: Brasil. Secretaria do Tesouro Nacional</td></tr><tr><td>Total de despesas brutas empenhadas: Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2023]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: jun. 2024, Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2023 e Despesas orçamentárias empenhadas (Anexo I-D) 2023. In: Brasil. Secretaria do Tesouro Nacional</td></tr><tr><td>PIB per capita: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA</td></tr></table>
